careerPageURL,component--field-formatter href,provide-styling src,identifier-label,component--field-formatter,component--field-formatter href 2,component--field-formatter 5,component--field-formatter href 3,component--field-formatter 6,component--field-formatter 7,component--field-formatter 8,component--field-formatter href 4,component--field-formatter 9,component--field-formatter href 5,component--field-formatter 10,component--field-formatter 11,component--field-formatter href 6,component--field-formatter 12,accent,accent href,accent 2,accent href 2,accent 3,accent href 3,accent 4,accent href 4,accent 5,accent href 5,accent 6,accent href 6,accent 7,accent href 7,component--field-formatter 14,component--field-formatter 15,component--field-formatter href 7
,https://www.crunchbase.com/organization/perplexity-ai,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/r2u9md2q3zb7asplv7aw",Perplexity AI,www.perplexity.ai,https://www.perplexity.ai,"Apr 23, 2024",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/perplexity-ai,—,"Perplexity is a search engine platform that uses artificial intelligence to provide large language models and search engines. The company's platform enables the development of beneficial artificial general intelligence, as well as an open-source environment that is accessible to the public, allowing clients to develop skills and knowledge in artificial intelligence.","$165,300,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/perplexity-ai,$10M to $50M,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00010000,2022,51-100,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/perplexity-ai,",,,,",Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence,Chatbot,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/chatbot-f0f7,Generative AI,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/generative-ai,Search Engine,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/search-engine-0d39,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software,San Francisco,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/san-francisco-california,California,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/california-united-states,Perplexity AI is an AI-chat-based conversational search engine that delivers answers to questions using language models.,1,https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/1
,https://www.crunchbase.com/organization/inflection-ai,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/yy5cqdnt3eglwa7uu4b0",Inflection AI,inflection.ai,https://inflection.ai,"Jun 29, 2023",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/inflection-ai,—,Inflection AI is a machine learning startup that engages in redefining human-computer interaction. The company addresses the issue that people have to reduce their demands on computers and adapt their language to what machines can understand.,"$1,525,000,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/inflection-ai,$1M to $10M,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000,2022,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/inflection-ai,",,,,",Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence,Chatbot,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/chatbot-f0f7,Generative AI,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/generative-ai,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/information-technology-dbca,Machine Learning,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/machine-learning,Palo Alto,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/palo-alto-california,California,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/california-united-states,Inflection AI is an artificial intelligence startup that develops personal AI chatbots.,16,https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/16
,https://www.crunchbase.com/organization/heygen,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/oui4t18oh05bxqhltkwq",HeyGen,www.heygen.com?sid=cb,https://www.heygen.com?sid=cb,"Mar 23, 2024",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/heygen,—,"Movio is bringing the futurist way of creating videos - by turning your text into realistic spokesperson videos in minutes, right from you broswer.
No actors, cameras or editing needed. 
All you need is your story to tell.","$69,000,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/heygen,$10M to $50M,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00010000,Nov 2020,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/heygen,",,,",Generative AI,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/generative-ai,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software,Video,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/video,Web Apps,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/web-apps,,,Los Angeles,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/los-angeles-california,California,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/california-united-states,"Next-gen generative AI video platform with customizable AI avatars, right from your browser",73,https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/73
,https://www.crunchbase.com/organization/rockset,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/hhaansdbd30v0sskopng",Rockset,rockset.com,https://rockset.com,"Aug 29, 2023",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/rockset,Yes,"Rockset is a developer of a serverless search and analytics engine platform that enables the creation of apps without the use of pipelines or data preparation. The platform of the company acts directly on raw data, plugs them in, and continuously syncs new data from data sources without the requirement for a fixed scheme using familiar SQL, allowing clients to access programming language without any data preparation.","$112,500,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/rockset,$1M to $10M,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000,2016,51-100,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/rockset,",,,",Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/analytics,Information Services,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/information-services-f579,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/information-technology-dbca,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software,,,San Mateo,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/san-mateo-california,California,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/california-united-states,Rockset is a real-time indexing database that enables companies to build data applications for the cloud.,274,https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/274
,https://www.crunchbase.com/organization/storyflow-20c9,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/dohvpzgjnwzndaen346r",Voiceflow,voiceflow.com,https://voiceflow.com,"Aug 15, 2023",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/storyflow-20c9,—,"Trusted by 200,000 users, Voiceflow helps businesses automate customer support and more through an easy to use, powerful, collaborative platform to build AI powered automations. It's time to expect more from your chatbot.","$39,000,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/storyflow-20c9,$10M to $50M,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00010000,2019,51-100,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/storyflow-20c9,",,,",Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence,Collaboration,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/collaboration,Internet,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/internet,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software,,,San Francisco,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/san-francisco-california,California,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/california-united-states,The collaborative platform to build conversational AI.,551,https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/551
,https://www.crunchbase.com/organization/reka-ai,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/hdqkdcnsn46w1lx9p7ln",Reka AI,reka.ai,https://reka.ai,"Jun 27, 2023",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/reka-ai,—,"Reka is an AI research and product company that develops models to benefit humanity, organizations, and enterprises. Reka, based in San Francisco, was founded by Dani Yogatama, Cyprien de Masson d'Autume, Qi Liu, Mikel Artetxe and Yi Tay.","$60,000,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/reka-ai,$1M to $10M,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000,Jul 2022,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/reka-ai,",,,",Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence,Generative AI,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/generative-ai,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/information-technology-dbca,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software,,,Sunnyvale,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/sunnyvale-california,California,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/california-united-states,Reka AI is an AI research and product company to advance science and build generative AI models.,575,https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/575
,https://www.crunchbase.com/organization/ambient-ai,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/rytwpfgfojgp8hdapdoe",Ambient.ai,ambient.ai,https://ambient.ai,"Oct 30, 2023",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/ambient-ai,—,"Ambient.ai is an AI-powered physical security platform integrating computer vision intelligence and camera infrastructure to sensor and prevent security incidents. The company specializes in real-time human-level perception technology that enables intelligent environments that are safe, efficient, and sustainable.","$72,120,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/ambient-ai,$1M to $10M,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000,2017,51-100,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/ambient-ai,",,,,",Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence,Computer Vision,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/computer-vision,Machine Learning,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/machine-learning,Security,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/security-4c60,Sensor,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/sensor,Menlo Park,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/menlo-park-california,California,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/california-united-states,Ambient.ai provides a security platform that applies AI to existing camera infrastructure to sensor and prevent incidents.,623,https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/623
,https://www.crunchbase.com/organization/vectara,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/v5j6i2bayr3ytizv97lw",Vectara,vectara.com,https://vectara.com,"May 30, 2023",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/vectara,—,"Vectara is the Trusted Generative AI for Enterprise Applications, a Serverless Retrieval Augmented Generation (RAG) platform that simplifies RAG & ML pipeline for better generative outcomes in applications, chatbots, and products.

Vectara's product is an end-to-end Serverless Retrieval Augmented Generation API platform for embedding powerful generative AI functionality into applications, chatbots, and products with extraordinary results that are grounded in, and never trained on, the data, documents, and knowledge that they have. Built on a solid hybrid-search core, Vectara delivers the shortest path to a correct answer-action through a safe, secure, and trusted entry point that allows businesses to quickly, safely, and affordably integrate best-in-class conversational AI and question-answering into their application with zero-shot precision. Vectara's serverless RAG platform solves critical problems required for enterprise adoption, namely: reduces hallucination, provides explainability, provenance, enforces access control, allows for real-time updatability of the knowledge, and mitigates intellectual property and bias concerns from large language models.

Vectara is your GenAI Partner, our commitment to value co-creation and mutual success is intrinsic to Vectara’s Ecosystem Partnerships, designed to foster collective enrichment for “Better Together” differentiation, and co-shape the ‘art of possible’ in GenAI Ecosystem.","$28,500,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/vectara,$1M to $10M,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000,2022,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/vectara,",,,,,",Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence,Developer Platform,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/developer-platform,Generative AI,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/generative-ai,Machine Learning,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/machine-learning,Natural Language Processing,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/natural-language-processing,Palo Alto,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/palo-alto-california,California,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/california-united-states,"Vectara is the Trusted Generative AI for Enterprise Applications, provided as a Serverless Retrieval Augmented Generation (RAG) Platform",631,https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/631
,https://www.crunchbase.com/organization/baseten,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/zovumsfuslupbftayf0u",Baseten,www.baseten.co,https://www.baseten.co,"Mar 4, 2024",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/baseten,—,"Baseten is a serverless backend that offers a fast way to build machine-learning-powered applications with auto-scaling, GPU access, CRON jobs, and serverless functions. Data science and machine learning teams can use Baseten to build applications without prior knowledge of backend, frontend, or MLOps, allowing for faster, smarter decision-making at their organizations. Baseten is on a mission to make machine learning available to all organizations.","$60,000,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/baseten,$1M to $10M,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000,2019,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/baseten,",,,,",Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence,Developer Tools,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/developer-tools,Machine Learning,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/machine-learning,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software,Software Engineering,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software-engineering,San Francisco,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/san-francisco-california,California,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/california-united-states,"Baseten is an AI infrastructure company that integrates machine learning into business operations, production, and processes.",635,https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/635
,https://www.crunchbase.com/organization/akkio,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/bumpa4lhrzxvb9yeic57",Akkio,www.akkio.com,https://www.akkio.com,"Aug 1, 2023",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/akkio,Yes,"Akkio is using artificial intelligence to transform the way they work with data. Anyone can now use generative analytics and machine learning to converse with live data, build charts and dashboards automatically, and precisely estimate critical business outcomes with upcoming speed and accuracy.","$18,000,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/akkio,$1M to $10M,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000,Jun 2019,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/akkio,",,,,,,,,",Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/analytics,Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence,Big Data,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/big-data,Business Intelligence,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/business-intelligence,Cloud Data Services,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/cloud-data-services,Boston,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/boston-massachusetts,Massachusetts,https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/massachusetts-united-states,Akkio is an AI company that delivers generative analytics and machine learning to businesses.,640,https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/640
